order_id,order_date,customer_name,customer_email,product_name,category,quantity,unit_price,line_total
O-00165,2026-01-25,Alex Murphy,alex.murphy@example.com,Pants 6,electronics,4,76.28,305.12
O-00109,2026-01-26,Ravi Lopez,ravi.lopez@example.com,Tablet 25,other,10,154.18,1541.80
O-00164,2026-01-26,Owen Davis,owen.davis@example.com,Cheese 16,electronics,4,179.80,719.20
O-00186,2026-01-26,Dani Owens,dani.owens@example.com,Hat 14,grocery,5,78.55,392.75
O-00031,2026-01-27,Yara Davis,yara.davis@example.com,Knife 15,other,7,198.80,1391.60
O-00077,2026-01-27,Zane Xu,zane.xu@example.com,Charger 29,grocery,8,148.74,1189.92
O-00160,2026-01-27,Kai Smith,kai.smith@example.com,Belt 22,apparel,2,134.97,269.94
O-00168,2026-01-27,Xian Owens,xian.owens@example.com,Eggs 28,home,9,45.06,405.54
O-00178,2026-01-27,Kai Smith,kai.smith@example.com,Cup 27,apparel,3,122.38,367.14
O-00185,2026-01-27,Noor Young,noor.young@example.com,Mouse 13,home,6,144.84,869.04
O-00179,2026-01-28,Mia Zhao,mia.zhao@example.com,Pan 7,apparel,5,65.73,328.65
O-00196,2026-01-28,Cara Quinn,cara.quinn@example.com,Yogurt 20,other,4,220.56,882.24
O-00047,2026-01-29,Kai Roy,kai.roy@example.com,Scarf 26,electronics,10,136.54,1365.40
O-00117,2026-01-29,Owen Vance,,Knife 15,other,6,160.34,962.04
O-00188,2026-01-29,Felix Murphy,felix.murphy@example.com,Pan 7,apparel,7,205.88,1441.16
O-00124,2026-01-30,Owen Vance,,Cheese 16,electronics,7,203.75,1426.25
O-00155,2026-01-30,Xian Ueda,xian.ueda@example.com,Apple 8,home,2,9.95,19.90
O-00091,2026-01-31,Hugo Young,hugo.young@example.com,Socks 18,home,6,215.04,1290.24
O-00193,2026-02-01,Xian Ueda,xian.ueda@example.com,Belt 22,apparel,6,183.92,1103.52
O-00034,2026-02-02,Felix Iyer,felix.iyer@example.com,Cup 27,apparel,4,141.98,567.92
O-00067,2026-02-02,Ravi Roy,ravi.roy@example.com,Yogurt 20,other,4,78.34,313.36
O-00096,2026-02-02,Felix Iyer,felix.iyer@example.com,Hat 14,grocery,10,42.33,423.30
O-00150,2026-02-03,Xian Xu,xian.xu@example.com,Yogurt 20,other,5,109.27,546.35
O-00171,2026-02-03,Owen Vance,,Cup 27,apparel,7,242.95,1700.65
O-00195,2026-02-03,Lia Zhao,lia.zhao@example.com,Eggs 28,home,1,123.18,123.18
O-00154,2026-02-04,Yara Davis,yara.davis@example.com,Cheese 16,electronics,5,191.82,959.10
O-00191,2026-02-04,Vik Quinn,vik.quinn@example.com,Shirt 2,apparel,2,220.79,441.58
O-00014,2026-02-05,Xian Iyer,xian.iyer@example.com,Webcam 21,electronics,2,208.72,417.44
O-00015,2026-02-05,Ravi Lopez,ravi.lopez@example.com,Webcam 21,electronics,1,122.34,122.34
O-00093,2026-02-05,Hugo Young,hugo.young@example.com,Speaker 17,apparel,8,5.32,42.56
O-00105,2026-02-05,Kai Tan,,Cheese 16,electronics,3,182.66,547.98
O-00197,2026-02-05,Kai Roy,kai.roy@example.com,Hat 14,grocery,4,234.34,937.36
O-00036,2026-02-06,Alex Patel,alex.patel@example.com,Scarf 26,electronics,10,237.80,2378.00
O-00048,2026-02-06,Dani Tan,dani.tan@example.com,Mug 3,home,9,116.20,1045.80
O-00012,2026-02-07,Wren Fischer,wren.fischer@example.com,Cable 5,other,7,83.65,585.55
O-00018,2026-02-07,Vik Xu,vik.xu@example.com,Lamp 1,electronics,4,50.62,202.48
O-00021,2026-02-07,Felix Iyer,felix.iyer@example.com,Mouse 13,home,3,29.01,87.03
O-00027,2026-02-07,Wren Owens,,Chips 12,apparel,10,162.87,1628.70
O-00051,2026-02-07,Vik Vance,vik.vance@example.com,Cup 27,apparel,8,232.90,1863.20
O-00029,2026-02-08,Felix Kim,felix.kim@example.com,Webcam 21,electronics,2,197.23,394.46
O-00121,2026-02-08,Pia Owens,pia.owens@example.com,Shirt 2,apparel,2,57.43,114.86
O-00008,2026-02-09,Sara Fischer,sara.fischer@example.com,Knife 15,other,8,204.97,1639.76
O-00037,2026-02-09,Ravi Chen,ravi.chen@example.com,Bowl 11,electronics,5,20.04,100.20
O-00079,2026-02-09,Noor Edwards,noor.edwards@example.com,Pants 6,electronics,6,218.41,1310.46
O-00139,2026-02-09,Vik Tan,vik.tan@example.com,Coffee 24,grocery,4,6.67,26.68
O-00157,2026-02-09,Pia Quinn,pia.quinn@example.com,Mug 3,home,2,64.84,129.68
O-00055,2026-02-10,Cara Wong,cara.wong@example.com,Plate 19,grocery,9,238.09,2142.81
O-00059,2026-02-10,Uma Jones,uma.jones@example.com,Sweater 30,other,3,82.43,247.29
O-00066,2026-02-10,Sara Lopez,sara.lopez@example.com,Pan 7,apparel,3,215.91,647.73
O-00161,2026-02-10,Felix Quinn,,Belt 22,apparel,6,110.39,662.34
O-00181,2026-02-10,Cara Wong,cara.wong@example.com,Bowl 11,electronics,5,197.53,987.65
O-00030,2026-02-11,Zane Edwards,zane.edwards@example.com,Cable 5,other,3,118.20,354.60
O-00143,2026-02-11,Alex Roy,alex.roy@example.com,Bread 4,grocery,3,91.28,273.84
O-00146,2026-02-11,Cara Vance,,Belt 22,apparel,7,207.62,1453.34
O-00032,2026-02-12,Alex Murphy,alex.murphy@example.com,Hat 14,grocery,5,92.94,464.70
O-00053,2026-02-13,Owen Davis,owen.davis@example.com,Charger 29,grocery,5,117.80,589.00
O-00072,2026-02-13,Yara Fischer,yara.fischer@example.com,Pants 6,electronics,9,176.23,1586.07
O-00134,2026-02-13,Yara Xu,yara.xu@example.com,Lamp 1,electronics,2,191.37,382.74
O-00166,2026-02-14,Noor Xu,noor.xu@example.com,Scarf 26,electronics,3,123.18,369.54
O-00062,2026-02-15,Jane Lopez,jane.lopez@example.com,Yogurt 20,other,9,95.33,857.97
O-00130,2026-02-15,Pia Roy,pia.roy@example.com,Mug 3,home,5,222.29,1111.45
O-00173,2026-02-15,Sara Fischer,sara.fischer@example.com,Jacket 10,other,10,215.60,2156.00
O-00103,2026-02-16,Ravi Roy,ravi.roy@example.com,Socks 18,home,1,155.70,155.70
O-00127,2026-02-16,Dani Tan,dani.tan@example.com,Knife 15,other,9,136.34,1227.06
O-00083,2026-02-17,Sara Fischer,sara.fischer@example.com,Pants 6,electronics,1,218.05,218.05
O-00148,2026-02-17,Hugo Young,hugo.young@example.com,Coffee 24,grocery,8,138.36,1106.88
O-00153,2026-02-17,Vik Xu,vik.xu@example.com,Yogurt 20,other,3,124.27,372.81
O-00170,2026-02-18,Noor Roy,noor.roy@example.com,Coffee 24,grocery,6,47.12,282.72
O-00176,2026-02-18,Dani Tan,dani.tan@example.com,Sweater 30,other,3,226.46,679.38
O-00101,2026-02-19,Dani Tan,dani.tan@example.com,Charger 29,grocery,10,65.82,658.20
O-00151,2026-02-19,Pia Davis,pia.davis@example.com,Charger 29,grocery,4,14.36,57.44
O-00111,2026-02-20,Noor Young,noor.young@example.com,Spoon 23,home,1,49.20,49.20
O-00060,2026-02-21,Felix Kim,felix.kim@example.com,Headphones 9,grocery,7,121.94,853.58
O-00089,2026-02-21,Kai Young,kai.young@example.com,Knife 15,other,2,25.61,51.22
O-00131,2026-02-21,Felix Allen,felix.allen@example.com,Mug 3,home,6,75.45,452.70
O-00142,2026-02-21,Dani Iyer,dani.iyer@example.com,Webcam 21,electronics,9,164.67,1482.03
O-00187,2026-02-21,Dani Tan,dani.tan@example.com,Plate 19,grocery,6,237.76,1426.56
O-00041,2026-02-22,Sara Lopez,sara.lopez@example.com,Cable 5,other,6,83.70,502.20
O-00175,2026-02-22,Ravi Roy,ravi.roy@example.com,Pants 6,electronics,4,225.21,900.84
O-00002,2026-02-23,Xian Vance,xian.vance@example.com,Coffee 24,grocery,1,231.82,231.82
O-00009,2026-02-23,Wren Zhao,wren.zhao@example.com,Chips 12,apparel,2,136.52,273.04
O-00069,2026-02-23,Cara Quinn,cara.quinn@example.com,Belt 22,apparel,9,140.71,1266.39
O-00128,2026-02-23,Hugo Ueda,hugo.ueda@example.com,Lamp 1,electronics,7,92.31,646.17
O-00180,2026-02-24,Owen Vance,,Knife 15,other,8,103.12,824.96
O-00050,2026-02-25,Vik Xu,vik.xu@example.com,Shirt 2,apparel,7,91.42,639.94
O-00024,2026-02-27,Alex Young,alex.young@example.com,Lamp 1,electronics,1,89.23,89.23
O-00025,2026-02-27,Xian Vance,xian.vance@example.com,Spoon 23,home,9,244.44,2199.96
O-00082,2026-02-27,Vik Quinn,vik.quinn@example.com,Spoon 23,home,9,17.61,158.49
O-00099,2026-02-27,Cara Quinn,cara.quinn@example.com,Bowl 11,electronics,7,86.51,605.57
O-00113,2026-02-27,Dani Tan,dani.tan@example.com,Headphones 9,grocery,1,73.99,73.99
O-00123,2026-02-27,Wren Fischer,wren.fischer@example.com,Cable 5,other,9,175.05,1575.45
O-00133,2026-02-27,Pia Murphy,pia.murphy@example.com,Bowl 11,electronics,3,247.87,743.61
O-00182,2026-02-27,Alex Murphy,alex.murphy@example.com,Plate 19,grocery,10,63.00,630.00
O-00122,2026-02-28,Ravi Lopez,ravi.lopez@example.com,Charger 29,grocery,4,162.06,648.24
O-00138,2026-02-28,Owen Edwards,owen.edwards@example.com,Scarf 26,electronics,2,134.95,269.90
O-00001,2026-03-01,Wren Zhao,wren.zhao@example.com,Chips 12,apparel,10,62.94,629.40
